codigo,estacion,categoria,departamento,provincia,latitud,longitud,icono,estado,codigo_antiguo
106053,LLAMA,CO,CAJAMARCA,CHOTA,-6.51443,-79.12262,M,REAL,
47E1D6C2,PUENTE SAN CARLOS,EHMA,CAJAMARCA,CHOTA,-6.61515,-79.27136,H,AUTOMATICA,
106061,TOCMOCHE,CO,CAJAMARCA,CHOTA,-6.4101,-79.3557,M,REAL,
47E1F02E,TUNEL CHOTANO,EHMA,CAJAMARCA,CHOTA,-6.54049,-78.78432,H,AUTOMATICA,
201301,CASCABAMBA,HLM,CAJAMARCA,CONTUMAZA,-7.38332,-78.73377,H,DIFERIDO,201301
472C92CA,CASCABAMBA,EMA,CAJAMARCA,CONTUMAZA,-7.38407,-78.72682,M,AUTOMATICA,
107058,CHILETE,PLU,CAJAMARCA,CONTUMAZA,-7.21968,-78.83799,M,REAL,
107052,CONTUMAZA,CO,CAJAMARCA,CONTUMAZA,-7.36521,-78.82273,M,REAL,
472C81BC,GUZMANGO,EMA,CAJAMARCA,CONTUMAZA,-7.38133,-78.9033,M,AUTOMATICA,
100090,MONTEGRANDE,CO,CAJAMARCA,CONTUMAZA,-7.22499,-79.15323,M,DIFERIDO,000396
201207,PUENTE CHILETE,HLG,CAJAMARCA,CONTUMAZA,-7.21969,-78.83799,H,REAL,
4727470A,PUENTE CHILETE,EHMA,CAJAMARCA,CONTUMAZA,-7.21968,-78.83798,H,AUTOMATICA,
107057,SAN BENITO,CO,CAJAMARCA,CONTUMAZA,-7.42819,-78.92673,M,REAL,
201204,YONAN GORE,HLM,CAJAMARCA,CONTUMAZA,-7.25592,-79.09908,H,DIFERIDO,201204
4726E508,YONAN GORE,EHA,CAJAMARCA,CONTUMAZA,-7.25592,-79.09909,H,AUTOMATICA,
472B3006,CUMBA,EHA,CAJAMARCA,CUTERVO,-5.94135,-78.66413,H,AUTOMATICA,
106057,CUTERVO,CO,CAJAMARCA,CUTERVO,-6.37964,-78.80512,M,REAL,
4726A602,CUTERVO,EMA,CAJAMARCA,CUTERVO,-6.37914,-78.81339,M,AUTOMATICA,
106067,QUEROCOTILLO,PLU,CAJAMARCA,CUTERVO,-6.27366,-79.03696,M,DIFERIDO,153109
100015,BAMBAMARCA,CP,CAJAMARCA,HUALGAYOC,-6.67655,-78.51834,M,REAL,
4726D092,BAMBAMARCA H,EHA,CAJAMARCA,HUALGAYOC,-6.66975,-78.54119,H,AUTOMATICA,
472680EE,BAMBAMARCA M,EMA,CAJAMARCA,HUALGAYOC,-6.67981,-78.52346,M,AUTOMATICA,
106077,CHUGUR,PLU,CAJAMARCA,HUALGAYOC,-6.66878,-78.738,M,DIFERIDO,153208
4727F484,CHUGUR,EMA,CAJAMARCA,HUALGAYOC,-6.66878,-78.738,M,AUTOMATICA,
221106,LLAUCANO CORELLAMA,HLG,CAJAMARCA,HUALGAYOC,-6.68656,-78.51823,H,REAL,
221110,PUENTE  MAYGASBAMBA,HLG,CAJAMARCA,HUALGAYOC,-6.67411,-78.52437,H,DIFERIDO,220307
100113,QUEBRADA SHUGAR,PLU,CAJAMARCA,HUALGAYOC,-6.68778,-78.45694,M,DIFERIDO,153108
220405,CACAO,HLM,CAJAMARCA,JAEN,-5.8837,-78.9625,H,DIFERIDO,220405
105065,CHONTALI,CO,CAJAMARCA,JAEN,-5.64389,-79.09,M,REAL,
105111,COCHALAN,PLU,CAJAMARCA,JAEN,-5.4654,-78.9888,M,DIFERIDO,152212
220814,COCHALAN,HLG,CAJAMARCA,JAEN,-5.4651,-78.9885,H,DIFERIDO,220815
105057,EL LIMON,CO,CAJAMARCA,JAEN,-5.91778,-79.31722,M,DIFERIDO,000241
106065,HACIENDA PUCARA,PLU,CAJAMARCA,JAEN,-6.04167,-79.13389,M,DIFERIDO,153107
472A571A,HUALLAPE,EHA,CAJAMARCA,JAEN,-5.45077,-78.69579,H,AUTOMATICA,
105067,JAEN,CP,CAJAMARCA,JAEN,-5.67664,-78.77416,M,REAL,
47269398,JAEN,EMA,CAJAMARCA,JAEN,-5.67667,-78.77418,M,AUTOMATICA,
105062,LA CASCARILLA,CO,CAJAMARCA,JAEN,-5.67175,-78.89767,M,REAL,
105053,SALLIQUE,CO,CAJAMARCA,JAEN,-5.65886,-79.31264,M,REAL,
105136,SAUZAL,EHMA,CAJAMARCA,JAEN,-5.77168,-79.39769,H,AUTOMATICA,
105074,CHIRINOS,CO,CAJAMARCA,SAN IGNACIO,-5.3085,-78.89759,M,REAL,
105107,NAMBALLE,CO,CAJAMARCA,SAN IGNACIO,-4.99953,-79.08862,M,REAL,
105058,SAN IGNACIO,CO,CAJAMARCA,SAN IGNACIO,-5.14708,-78.99512,M,REAL,
105142,SAN MIGUEL,EAMA,CAJAMARCA,SAN IGNACIO,-5.24006,-78.91138,M,DIFERIDO,105142
220812,TABACONAS,HLG,CAJAMARCA,SAN IGNACIO,-5.32221,-79.28779,H,DIFERIDO,220813
105056,TABACONAS,CO,CAJAMARCA,SAN IGNACIO,-5.31515,-79.28488,M,REAL,
107006,SAN MARCOS,CO,CAJAMARCA,SAN MARCOS,-7.32249,-78.1727,M,REAL,
4725E206,SAN MARCOS,EAMA,CAJAMARCA,SAN MARCOS,-7.32249,-78.17269,M,AUTOMATICA,
107038,SONDOR-MATARA,CO,CAJAMARCA,SAN MARCOS,-7.23687,-78.21262,M,REAL,
107055,LIVES,PLU,CAJAMARCA,SAN MIGUEL,-7.0802,-79.04045,M,DIFERIDO,153111
106019,LLAPA,CO,CAJAMARCA,SAN MIGUEL,-6.97833,-78.81119,M,REAL,
