codigo,estacion,departamento,provincia,modelo,variable,periodo_inicio,periodo_fin,ciclos,horizonte,resolucion,bias,mae,rmse,spearman,n
116086,LAS SALINAS,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.344,0.35,1.064,0.117,117
47E360B8,PATAHUASI,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.097,0.101,0.398,0.14,232
47E360B8,PATAHUASI,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.148,0.153,0.598,0.075,177
47E360B8,PATAHUASI,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.035,0.038,0.183,-0.023,206
47E360B8,PATAHUASI,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.07,0.075,0.539,-0.028,232
47E360B8,PATAHUASI,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.231,0.231,0.626,0.14,118
4722E032,PUENTE DEL DIABLO,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.005,0.006,0.06,0.341,202
4722E032,PUENTE DEL DIABLO,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.007,0.008,0.068,-0.009,158
4722E032,PUENTE DEL DIABLO,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.007,0.007,0.063,S/D,179
4722E032,PUENTE DEL DIABLO,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.005,0.007,0.06,-0.012,202
4722E032,PUENTE DEL DIABLO,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.004,0.016,0.115,-0.092,103
116082,SAN FRANCISCO,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.002,0.002,0.012,S/D,221
116082,SAN FRANCISCO,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.015,0.015,0.077,S/D,170
116082,SAN FRANCISCO,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.001,0.001,0.007,S/D,195
116082,SAN FRANCISCO,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.003,0.003,0.027,S/D,220
116082,SAN FRANCISCO,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.036,0.036,0.189,S/D,112
47E3B6D0,SAN JOSE DE UZUNA,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.11,0.122,0.521,-0.065,232
47E3B6D0,SAN JOSE DE UZUNA,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.095,0.103,0.384,-0.048,177
47E3B6D0,SAN JOSE DE UZUNA,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,-0.002,0.011,0.069,-0.026,206
47E3B6D0,SAN JOSE DE UZUNA,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.012,0.024,0.184,-0.032,232
47E3B6D0,SAN JOSE DE UZUNA,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.011,0.023,0.142,0.095,118
47E27134,SOCOSANI,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.006,0.006,0.05,S/D,200
47E27134,SOCOSANI,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.018,0.018,0.118,S/D,152
47E27134,SOCOSANI,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.001,0.001,0.008,S/D,176
47E27134,SOCOSANI,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.001,0.001,0.012,S/D,198
47E27134,SOCOSANI,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.01,0.01,0.1,S/D,101
472EE1AE,TINGO GRANDE,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,4
472EE1AE,TINGO GRANDE,AREQUIPA,AREQUIPA,gfs,pp,20260822,20260920,"00Z,12Z",D1,6h,0.021,0.021,0.036,S/D,3
472EE1AE,TINGO GRANDE,AREQUIPA,AREQUIPA,eta5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,4
472EE1AE,TINGO GRANDE,AREQUIPA,AREQUIPA,wrf5,pp,20260822,20260920,"00Z,12Z",D1,6h,0.0,0.0,0.0,S/D,4
472EE1AE,TINGO GRANDE,AREQUIPA,AREQUIPA,mpas15,pp,20260822,20260920,00Z,D1,6h,0.0,0.0,0.0,S/D,2
116078,TUCTUMPAYA,AREQUIPA,AREQUIPA,ecmwf,pp,20260822,20260920,"00Z,12Z",D1,6h,0.118,0.118,0.523,S/D,228
