codigo,estacion,latitud,longitud,2026092518,2026092600,2026092606,2026092612,2026092618,2026092700,2026092706,2026092712,2026092718,2026092800,2026092806,2026092812,2026092818,2026092900,2026092906,2026092912,2026092918,2026093000,2026093006,2026093012
105120,CHUSIS,-5.51694,-80.83361,,,,,,,,,,,,,,,,,,,,
47E0D438,ALAMOR,-4.47749,-80.39788,,,,,,,,,,,,,,,,,,,,
47E09732,LA ARDILLA,-4.49094,-80.38819,,,,,,,,,,,,,,,,,,,,
472FD6CE,LANCONES,-4.6429,-80.54716,,,,,,,,,,,,,,,,,,,,
270202,PUENTE AZANGARO,-14.92139,-70.18861,,,,,,,,,,,,,,,,,,,,
4721AAE4,AYMAÑA,-13.87279,-70.66759,,,,,,,,,,,,,,,,,,,,
114137,CRUCERO,-14.36416,-70.02583,,,,,,,,,,,,,,,,,,,,
4721B992,UPINA,-13.88492,-70.08281,,,,,,,,,,,,,,,,,,,,
210003,HUANCASAYA,-15.14308,-69.21467,,,,,,,,,,,,,,,,,,,,
47251282,PUENTE CARRETERA RAMIS,-15.25544,-69.87381,,,,,,,,,,,,,,,,,,,,
472E37C6,PALCA,-15.2359,-70.59313,,,,,,,,,,,,,,,,,,,,
472DE6A0,PAMPAHUTA,-15.48369,-70.67599,,,,,,,,,,,,,,,,,,,,
114134,ANANSAYA -PUNA,-14.33386,-70.52334,,,,,,,,,,,,,,,,,,,,
47256412,ENAFER,-15.83647,-70.016,,,,,,,,,,,,,,,,,,,,
472E4156,ILLPA,-15.68726,-70.07988,,,,,,,,,,,,,,,,,,,,
472CB426,LARAQUERI,-16.13592,-70.04589,,,,,,,,,,,,,,,,,,,,
472DD33A,PUNO,-15.82625,-70.01208,,,,,,,,,,,,,,,,,,,,
115156,CABANILLAS,-15.63909,-70.34661,,,,,,,,,,,,,,,,,,,,
472CF72C,JULIACA,-15.47106,-70.17122,,,,,,,,,,,,,,,,,,,,
107142,BELLAVISTA,-7.05517,-76.55836,,,,,,,,,,,,,,,,,,,,
210006,SHANAO,-6.41291,-76.60001,,,,,,,,,,,,,,,,,,,,
106144,JEPELACIO,-6.11275,-76.90761,,,,,,,,,,,,,,,,,,,,
106145,TINGO DE PONAZA,-6.93722,-76.25267,,,,,,,,,,,,,,,,,,,,
4724851A,NARANJILLO,-5.80962,-77.39321,,,,,,,,,,,,,,,,,,,,
4723013A,EL PORVENIR,-6.58906,-76.31824,,,,,,,,,,,,,,,,,,,,
47E2E456,TOCACHE,-8.18475,-76.50789,,,,,,,,,,,,,,,,,,,,
47E2C2BA,CANDARAVE,-17.268,-70.25409,,,,,,,,,,,,,,,,,,,,
47E1654C,CORACHAY II,-17.11435,-70.28838,,,,,,,,,,,,,,,,,,,,
47E12646,LAGUNA ARICOTA,-17.37093,-70.30847,,,,,,,,,,,,,,,,,,,,
47E186BE,PUENTE VIEJO,-17.61756,-70.76097,,,,,,,,,,,,,,,,,,,,
47E2B42A,BOCATOMA EL AYRO,-17.58019,-69.62673,,,,,,,,,,,,,,,,,,,,
47E143A0,CAPLINA,-17.6921,-69.92511,,,,,,,,,,,,,,,,,,,,
47E13530,CERRO BLANCO,-17.96873,-70.15231,,,,,,,,,,,,,,,,,,,,
47E195C8,CHALLATA,-17.81542,-70.09896,,,,,,,,,,,,,,,,,,,,
4722F344,LA TRANCA,-17.74313,-70.47178,,,,,,,,,,,,,,,,,,,,
47E113DC,REPRESA PAUCARANI,-17.53436,-69.76499,,,,,,,,,,,,,,,,,,,,
117059,ANCOAQUE,-17.19972,-69.93917,,,,,,,,,,,,,,,,,,,,
47E292C6,CHUAPALCA,-17.30882,-69.66179,,,,,,,,,,,,,,,,,,,,
47E150D6,PUENTE TALAPALCA,-17.47487,-70.17265,,,,,,,,,,,,,,,,,,,,
47E1B324,REPRESA JARUMAS,-17.3692,-69.94863,,,,,,,,,,,,,,,,,,,,
47E1763A,SALIDA TUNEL KOVIRE,-17.23804,-70.00854,,,,,,,,,,,,,,,,,,,,
47E2D1CC,TARATA,-17.47937,-70.03665,,,,,,,,,,,,,,,,,,,,
47E2A75C,VILACOTA,-17.07909,-70.04302,,,,,,,,,,,,,,,,,,,,
472F13D0,CAÑAVERAL,-3.93905,-80.65055,,,,,,,,,,,,,,,,,,,,
47E01126,CABO INGA H,-3.97873,-80.39938,,,,,,,,,,,,,,,,,,,,
